subject_name,sub_id,sub_type,year,sem_id,b_id,f_id,,,,,,,,,,,,,
DTSPL,60,0,,5,3,77,,,,,,,,,,,,,
DCEL,61,0,,5,3,79,,,,,,,,,,,,,
STL,62,0,,5,3,110,,,,,,,,,,,,,
DSAL,63,0,,5,3,72,,,,,,,,,,,,,
BCEL,64,0,,5,3,26,,,,,,,,,,,,,
PBL - II,65,1,,5,3,114,,,,,,,,,,,,,
SAT X,66,1,,5,3,121,,,,,,,,,,,,,
PBLL II,67,0,,5,3,119,,,,,,,,,,,,,
MWE,68,1,,7,3,102,,,,,,,,,,,,,
MCS,69,1,,7,3,79,,,,,,,,,,,,,
ESR,70,1,,9,3,109,,,,,,,,,,,,,
BDA,71,1,,7,3,121,,,,,,,,,,,,,
NNDL,72,1,,7,3,74,,,,,,,,,,,,,
CCS,73,1,,7,3,76,,,,,,,,,,,,,
"(ILC-I)
MIS",74,1,,7,3,123,,,,,,,,,,,,,
"(ILC-I)
CSL",75,1,,7,3,81,,,,,,,,,,,,,
"(ILC-I)
DMMM",76,1,,9,3,60,,,,,,,,,,,,,
"(ILC-I)
OR",77,1,,11,3,44,,,,,,,,,,,,,
MWEL,78,0,,7,3,102,,,,,,,,,,,,,
AIL,79,0,,7,3,109,,,,,,,,,,,,,
BDAL,80,0,,7,3,121,,,,,,,,,,,,,
NNDLL,81,0,,7,3,74,,,,,,,,,,,,,
CCSL,82,0,,7,3,76,,,,,,,,,,,,,
PBL-MP-A,83,0,,7,3,79,,,,,,,,,,,,,
AME-I,84,1,,3,1,55,,,,,,,,,,,,,
DSGT,85,1,,3,1,128,,,,,,,,,,,,,
DS,86,1,,3,1,1,,,,,,,,,,,,,
DLCA,87,1,,3,1,115,,,,,,,,,,,,,
DBMS,88,1,,3,1,130,,,,,,,,,,,,,
DS Lab,89,0,,3,1,1,,,,,,,,,,,,,
DLCA Lab,90,0,,3,1,115,,,,,,,,,,,,,
DBMS LAb,91,0,,3,1,130,,,,,,,,,,,,,
Mini Project-I,92,0,,3,1,130,,,,,,,,,,,,,
SAT-VII,93,0,,3,1,89,,,,,,,,,,,,,
SAT-IV,94,0,,9,1,115,,,,,,,,,,,,,
SE,96,1,,5,1,116,,,,,,,,,,,,,
CN,97,1,,5,1,126,,,,,,,,,,,,,
IP,99,1,,5,1,127,,,,,,,,,,,,,
PGM,100,1,,5,1,79,,,,,,,,,,,,,
CN Lab,102,0,,5,1,126,,,,,,,,,,,,,
MLab,103,0,,5,1,130,,,,,,,,,,,,,
IP Lab,104,0,,5,1,127,,,,,,,,,,,,,
PGM Lab,105,0,,5,1,79,,,,,,,,,,,,,
BCE,106,1,,5,1,51,,,,,,,,,,,,,
Minor Project Lab-I,107,0,,5,1,130,,,,,,,,,,,,,
SAT-VII,108,0,,5,1,113,,,,,,,,,,,,,
SAT-VIII,109,1,, Coursera,0,5,,,,,,,,,,,,,
BDA,111,1,,7,1,130,,,,,,,,,,,,,
NLP,113,1,,7,1,30,,,,,,,,,,,,,
IR,115,1,,7,1,113,,,,,,,,,,,,,
CSL,117,1,,7,1,81,,,,,,,,,,,,,
BDA Lab,120,0,,7,1,130,,,,,,,,,,,,,
NLP Lab,122,0,,7,1,30,,,,,,,,,,,,,
AME-I,124,1,,3,7,43,,,,,,,,,,,,,
DAA,125,1,,3,7,91,,,,,,,,,,,,,
DSA,126,1,,3,7,23,,,,,,,,,,,,,
OOPM,127,1,,3,7,92,,,,,,,,,,,,,
DSDS,128,1,,3,7,35,,,,,,,,,,,,,
DSAL,129,0,,3,7,23,,,,,,,,,,,,,
DAAL,130,0,,3,7,92,,,,,,,,,,,,,
OOPMJL,131,0,,3,7,35,,,,,,,,,,,,,
PBL-MINI-PRL-1,132,0,,3,7,23,,,,,,,,,,,,,
SAT-VII WDD,133,0,,3,7,85,,,,,,,,,,,,,
SAT-IV,134,0,,9,7,106,,,,,,,,,,,,,
PCS,135,1,,5,4,25,,,,,,,,,,,,,
DSP,136,1,,5,4,98,,,,,,,,,,,,,
LIC,137,1,,5,4,134,,,,,,,,,,,,,
DC,138,1,,5,4,90,,,,,,,,,,,,,
NNFL,139,1,,5,4,97,,,,,,,,,,,,,
PCSL,140,0,,5,4,25,,,,,,,,,,,,,
LICL,141,0,,5,4,134,,,,,,,,,,,,,
DCL,142,0,,5,4,90,,,,,,,,,,,,,
NNFLL,143,0,,5,4,97,,,,,,,,,,,,,
BCE,144,0,,5,4,26,,,,,,,,,,,,,
PBL-MI0R-PRL-1,145,0,,5,4,106,,,,,,,,,,,,,
SAT-VII,146,0,,5,4,98,,,,,,,,,,,,,
SAT-VIII,147,0,,5,4,134,,,,,,,,,,,,,
DL,148,1,,7,7,111,,,,,,,,,,,,,
NLP,149,1,,7,7,106,,,,,,,,,,,,,
IoE,150,1,,9,7,98,,,,,,,,,,,,,
CNS,151,1,,7,7,134,,,,,,,,,,,,,
BI,152,1,,7,7,82,,,,,,,,,,,,,
AIH,153,1,,7,7,85,,,,,,,,,,,,,
DLL,156,0,,7,7,106,,,,,,,,,,,,,
NLPL,157,0,,7,7,98,,,,,,,,,,,,,
IoEL,158,0,,9,7,134,,,,,,,,,,,,,
CSNL,159,0,,7,7,82,,,,,,,,,,,,,
CCL,160,0,,7,4,85,,,,,,,,,,,,,
MAJOR-PRL-A,161,0,,7,7,90,,,,,,,,,,,,,
MIS,162,1,,7,7,123,,,,,,,,,,,,,
PLMC,163,1,,7,7,81,,,,,,,,,,,,,
AME-II,164,1,,4,3,55,,,,,,,,,,,,,
ADCOM,165,1,,4,3,72,,,,,,,,,,,,,
MC,166,1,,4,3,104,,,,,,,,,,,,,
ICC (MMC),167,1,,4,3,76,,,,,,,,,,,,,
SS,168,1,,4,3,75,,,,,,,,,,,,,
MCL,169,0,,4,3,72,,,,,,,,,,,,,
ADCOM Lab,170,0,,4,3,104,,,,,,,,,,,,,
ICC Lab,171,0,,4,3,76,,,,,,,,,,,,,
SAT-IX ,172,0,,4,3,1,,,,,,,,,,,,,
SAT-VIII,173,0,,4,3,109,,,,,,,,,,,,,
PBL-II (Mini),174,0,,4,3,109,,,,,,,,,,,,,
EMA,175,1,,6,3,102,,,,,,,,,,,,,
ML,176,1,,6,3,114,,,,,,,,,,,,,
IPMV,177,1,,6,3,99,,,,,,,,,,,,,
CCN,178,1,,6,3,81,,,,,,,,,,,,,
DBMS,179,1,,6,3,122,,,,,,,,,,,,,
EMAL,181,0,,6,3,102,,,,,,,,,,,,,
MLL,182,0,,6,3,114,,,,,,,,,,,,,
IMPVL,183,0,,6,3,99,,,,,,,,,,,,,
DBMSL,184,0,,6,3,122,,,,,,,,,,,,,
PBL-II,186,1,,6,3,1,,,,,,,,,,,,,
SBL-IX,187,0,,6,3,74,,,,,,,,,,,,,
TBL-X,188,0,,6,3,75,,,,,,,,,,,,,
OCN,189,1,,8,3,110,,,,,,,,,,,,,
WD,190,1,,8,3,121,,,,,,,,,,,,,
NLP,191,1,,8,3,123,,,,,,,,,,,,,
FM,193,1,,8,3,73,,,,,,,,,,,,,
OCNL,196,0,,8,3,110,,,,,,,,,,,,,
WDL,197,0,,8,3,121,,,,,,,,,,,,,
NLPL,198,0,,8,3,123,,,,,,,,,,,,,
PBL-B,200,1,,8,3,1,,,,,,,,,,,,,
DBMS,206,1,,99,3,77,,,,,,,,,,,,,
FDS,208,1,,8,3,119,,,,,,,,,,,,,
PM,209,1,,8,3,70,,,,,,,,,,,,,
EM,210,1,,8,3,60,,,,,,,,,,,,,
FDSL,211,0,,8,3,119,,,,,,,,,,,,,
AM-II,212,1,,4,2,55,,,,,,,,,,,,,
CNND,213,1,,4,2,1,,,,,,,,,,,,,
OS,214,1,,4,2,9,,,,,,,,,,,,,
AT,215,1,,4,2,11,,,,,,,,,,,,,
IoE,216,1,,4,2,1,,,,,,,,,,,,,
NL,217,0,,4,2,1,,,,,,,,,,,,,
UL,218,0,,4,2,15,,,,,,,,,,,,,
IE Lab,219,0,,4,2,70,,,,,,,,,,,,,
PBL,220,0,,4,2,20,,,,,,,,,,,,,
SBL,221,0,,4,2,11,,,,,,,,,,,,,
SBL FL II,222,1,,4,2,1,,,,,,,,,,,,,
DMBI,223,1,,6,2,22,,,,,,,,,,,,,
Web X.0 ,224,1,,6,2,20,,,,,,,,,,,,,
ASEPM,225,1,,6,2,15,,,,,,,,,,,,,
AIDS,226,1,,6,2,1,,,,,,,,,,,,,
CCS,227,1,,6,2,32,,,,,,,,,,,,,
IP,228,1,,6,2,14,,,,,,,,,,,,,
BI,229,0,,6,2,32,,,,,,,,,,,,,
WEBS,230,0,,6,2,1,,,,,,,,,,,,,
DevOps Lab,231,0,,6,2,15,,,,,,,,,,,,,
CCS LAB,232,0,,6,2,32,,,,,,,,,,,,,
IP LAB,233,0,,6,2,14,,,,,,,,,,,,,
PBL,234,0,,6,2,16,,,,,,,,,,,,,
SBL,235,0,,6,2,1,,,,,,,,,,,,,
TBL,236,0,,6,2,6,,,,,,,,,,,,,
BC,237,1,,8,2,16,,,,,,,,,,,,,
NLP,238,1,,8,2,20,,,,,,,,,,,,,
CS,239,1,,8,2,9,,,,,,,,,,,,,
XAI,240,1,,8,2,11,,,,,,,,,,,,,
OT,241,1,,9,2,1,,,,,,,,,,,,,
FM,243,1,,8,2,73,,,,,,,,,,,,,
BC LAB,245,0,,8,2,16,,,,,,,,,,,,,
RPA LAB,246,0,,8,2,1,,,,,,,,,,,,,
NLP LAB,247,0,,8,2,20,,,,,,,,,,,,,
CS LAB,248,0,,8,2,9,,,,,,,,,,,,,
PBL,249,0,,8,2,1,,,,,,,,,,,,,
RM,250,1,,8,2,14,,,,,,,,,,,,,
EM,251,1,,8,2,60,,,,,,,,,,,,,
EM I,252,1,,1,6,24,,,,,,,,,,,,,
EP,253,1,,1,6,40,,,,,,,,,,,,,
EC,254,1,,1,6,46,,,,,,,,,,,,,
EM,255,1,,1,6,48,,,,,,,,,,,,,
BEE,256,1,,1,6,111,,,,,,,,,,,,,
EP PR,257,0,,1,6,40,,,,,,,,,,,,,
EC PR,258,0,,1,6,46,,,,,,,,,,,,,
EM PR,259,0,,1,6,48,,,,,,,,,,,,,
BEE PR,260,0,,1,6,111,,,,,,,,,,,,,
SAT-I,261,0,,1,6,48,,,,,,,,,,,,,
SAT-II,262,0,,1,6,26,,,,,,,,,,,,,
MDS,263,1,,4,7,55,,,,,,,,,,,,,
AIAE,264,1,,4,7,85,,,,,,,,,,,,,
DMS,265,1,,4,7,82,,,,,,,,,,,,,
OS,266,1,,4,7,92,,,,,,,,,,,,,
MMC-IE,267,1,,4,7,35,,,,,,,,,,,,,
MMC-IEL,268,0,,4,7,85,,,,,,,,,,,,,
DMSL,269,0,,4,7,82,,,,,,,,,,,,,
OSL,270,0,,4,7,92,,,,,,,,,,,,,
PBL-II,271,0,,4,7,134,,,,,,,,,,,,,
SBL-V(Python),272,0,,4,7,25,,,,,,,,,,,,,
SBL-VI(Language),273,0,,4,7,91,,,,,,,,,,,,,
ANN,274,1,,6,7,92,,,,,,,,,,,,,
ML,275,1,,6,7,91,,,,,,,,,,,,,
DAV,276,1,,6,7,134,,,,,,,,,,,,,
BDA,277,1,,6,7,106,,,,,,,,,,,,,
AIE,278,1,,6,7,90,,,,,,,,,,,,,
ANNL,279,0,,6,7,92,,,,,,,,,,,,,
MLL,280,0,,6,7,106,,,,,,,,,,,,,
DAVL,281,0,,6,7,90,,,,,,,,,,,,,
AIEL,282,0,,6,7,82,,,,,,,,,,,,,
PBL- Minor Project Lab-2 ,283,0,,6,7,134,,,,,,,,,,,,,
SBL-IX,284,0,,6,7,85,,,,,,,,,,,,,
TBL-X,285,0,,6,7,82,,,,,,,,,,,,,
IA,286,1,,8,4,97,,,,,,,,,,,,,
WD,287,1,,8,4,23,,,,,,,,,,,,,
IIOT,288,1,,8,4,106,,,,,,,,,,,,,
FM,292,1,,10,4,51,,,,,,,,,,,,,
IAL,293,0,,8,4,97,,,,,,,,,,,,,
WDL,294,0,,8,4,23,,,,,,,,,,,,,
IIOTL,295,0,,8,4,106,,,,,,,,,,,,,
MAJ-PRL-A,296,0,,8,4,106,,,,,,,,,,,,,
PM,297,1,,10,4,14,,,,,,,,,,,,,
FM,298,1,,8,4,35,,,,,,,,,,,,,
EM,299,1,,8,4,60,,,,,,,,,,,,,
AME-II,300,1,,4,1,43,,,,,,,,,,,,,
AOA,301,1,,4,1,1,,,,,,,,,,,,,
OS,303,1,,4,1,79,,,,,,,,,,,,,
IOTCC,304,1,,4,1,98,,,,,,,,,,,,,
AOA Lab,305,0,,4,1,1,,,,,,,,,,,,,
IOTCC Lab,306,0,,4,1,137,,,,,,,,,,,,,
OS Lab,307,0,,4,1,79,,,,,,,,,,,,,
PBL : Mini Project-II,308,0,,4,1,1,,,,,,,,,,,,,
SBL : PP,309,0,,4,1,1,,,,,,,,,,,,,
SBL : FIRL,310,0,,4,1,37,,,,,,,,,,,,,
SPCC,311,1,,6,1,113,,,,,,,,,,,,,
CSS,312,1,,6,1,129,,,,,,,,,,,,,
MC,313,1,,6,1,1,,,,,,,,,,,,,
AI,314,1,,6,1,132,,,,,,,,,,,,,
IS,315,1,,9,1,1,,,,,,,,,,,,,
QA,316,1,,6,1,130,,,,,,,,,,,,,
SPCC Lab,317,0,,6,1,113,,,,,,,,,,,,,
CSS Lab,318,0,,6,1,129,,,,,,,,,,,,,
MC Lab,319,0,,6,1,1,,,,,,,,,,,,,
AI Lab,320,0,,6,1,132,,,,,,,,,,,,,
Minor Project Lab,321,0,,6,1,1,,,,,,,,,,,,,
SBL : CC,322,0,,6,1,89,,,,,,,,,,,,,
TBL,323,0,,6,1,98,,,,,,,,,,,,,
DC,324,1,,8,1,116,,,,,,,,,,,,,
ADS,325,1,,8,1,1,,,,,,,,,,,,,
DF,326,1,,8,1,127,,,,,,,,,,,,,
SMA,327,1,,8,1,128,,,,,,,,,,,,,
EM,328,1,,8,1,37,,,,,,,,,,,,,
PM,329,1,,8,1,14,,,,,,,,,,,,,
FM,330,1,,8,1,35,,,,,,,,,,,,,
DC Lab,331,0,,8,1,116,,,,,,,,,,,,,
ADS Lab,332,0,,8,1,1,,,,,,,,,,,,,
DF Lab,333,0,,8,1,127,,,,,,,,,,,,,
Project B,336,0,,8,1,1,,,,,,,,,,,,,
SMA Lab,337,0,,8,1,128,,,,,,,,,,,,,
SAD Lab,338,15,,9,1,37,,,,,,,,,,,,,
EM-II,339,1,,2,6,24,,,,,,,,,,,,,
P&N,340,1,,2,6,40,,,,,,,,,,,,,
MC,341,1,,2,6,46,,,,,,,,,,,,,
EG,342,1,,2,6,48,,,,,,,,,,,,,
CP,343,1,,2,6,25,,,,,,,,,,,,,
PCS,344,1,,2,6,26,,,,,,,,,,,,,
WS-SAT V,345,0,,2,6,48,,,,,,,,,,,,,
ABL SAT VI,346,1,,2,6,46,,,,,,,,,,,,,
CAD,347,0,,2,6,42,,,,,,,,,,,,,
P&N,348,0,,2,6,52,,,,,,,,,,,,,
MC,349,0,,2,6,46,,,,,,,,,,,,,
EG,350,0,,2,6,42,,,,,,,,,,,,,
CP,351,0,,2,6,142,,,,,,,,,,,,,
PCS - SAT IV,353,0,,2,6,26,,,,,,,,,,,,,
ML,354,1,,5,7,85,,,,,,,,,,,,,
DWM,355,1,,5,7,23,,,,,,,,,,,,,
ITC,357,1,,5,7,136,,,,,,,,,,,,,
AI CN,358,1,,5,7,134,,,,,,,,,,,,,
IVP,359,1,,5,7,82,,,,,,,,,,,,,
MLL,360,0,,5,7,85,,,,,,,,,,,,,
DWML,361,0,,5,7,134,,,,,,,,,,,,,
SEL,362,0,,5,7,91,,,,,,,,,,,,,
CNL,363,0,,5,7,134,,,,,,,,,,,,,
IVPL,364,0,,5,7,82,,,,,,,,,,,,,
BCE,365,0,,5,7,26,,,,,,,,,,,,,
PBL-MP1,366,0,,5,7,92,,,,,,,,,,,,,
SBL-VII,367,1,,5,7,91,,,,,,,,,,,,,
TBL-VIII,368,0,,5,7,82,,,,,,,,,,,,,
BCE,369,1,,5,7,144,,,,,,,,,,,,,
BCE,371,1,,5,3,144,,,,,,,,,,,,,
ESR,372,1,,7,3,110,,,,,,,,,,,,,
WN,373,1,,7,3,70,,,,,,,,,,,,,
(ILC-I)PLM,374,1,,7,3,60,,,,,,,,,,,,,
ESRL,375,0,,7,3,110,,,,,,,,,,,,,
WNL,376,0,,7,3,70,,,,,,,,,,,,,
IoT,378,1,,5,2,38,,,,,,,,,,,,,
SAT-VIII,379,0,,5,1,1,,,,,,,,,,,,,
BCE,380,0,,5,1,51,,,,,,,,,,,,,
ML,382,1,,7,1,127,,,,,,,,,,,,,
EHS,383,1,,7,1,126,,,,,,,,,,,,,
PLM,384,1,,7,1,60,,,,,,,,,,,,,
MIS,385,1,,7,1,123,,,,,,,,,,,,,
DM,386,1,,7,1,44,,,,,,,,,,,,,
ML Lab,387,0,,7,1,127,,,,,,,,,,,,,
EHS Lab,388,0,,7,1,126,,,,,,,,,,,,,
CSL,391,1,,9,2,1,,,,,,,,,,,,,
PLM,392,1,,7,2,1,,,,,,,,,,,,,
AI-A(DLE-II),393,1,,6,7,90,,,,,,,,,,,,,
AI-A(DLE-II),394,0,,6,7,82,,,,,,,,,,,,,
SoC,395,1,,8,3,121,,,,,,,,,,,,,
5GT,396,1,,9,3,121,,,,,,,,,,,,,
ARVR,397,1,,9,3,121,,,,,,,,,,,,,
RFD,398,1,,9,3,123,,,,,,,,,,,,,
AV,399,1,,8,3,123,,,,,,,,,,,,,
RFDL,400,0,,9,3,119,,,,,,,,,,,,,
AVL,401,0,,8,3,119,,,,,,,,,,,,,
ARVRL,402,0,,9,3,121,,,,,,,,,,,,,
5GTL,403,0,,9,3,121,,,,,,,,,,,,,
SoCL,404,0,,8,3,121,,,,,,,,,,,,,
SAT-III,405,0,,1,6,48,,,,,,,,,,,,,
EM II PR,406,0,,2,6,48,,,,,,,,,,,,,
RL,407,1,,8,7,92,,,,,,,,,,,,,
DTI(DLE-V),408,1,,8,7,90,,,,,,,,,,,,,
SMA(DLE-V),409,1,,8,7,90,,,,,,,,,,,,,
QC,410,1,,8,7,92,,,,,,,,,,,,,
RLL,411,0,,8,7,92,,,,,,,,,,,,,
RPAL,413,0,,8,7,92,,,,,,,,,,,,,
DTIL(DLE-V),414,0,,8,7,92,,,,,,,,,,,,,
SMAL(DLE-V),415,0,,8,7,92,,,,,,,,,,,,,
PM,416,1,,8,7,92,,,,,,,,,,,,,
FM,417,1,,8,7,92,,,,,,,,,,,,,
SAPL,418,0,,9,3,122,,,,,,,,,,,,,
IOTL,419,0,,9,3,122,,,,,,,,,,,,,
SAP,420,1,,9,3,122,,,,,,,,,,,,,
IOT,421,1,,9,3,122,,,,,,,,,,,,,
EM,422,1,,8,7,92,,,,,,,,,,,,,
PBL - B,423,0,,8,7,92,,,,,,,,,,,,,
DL,424,1,,8,1,127,,,,,,,,,,,,,
DL Lab,425,0,,8,1,127,,,,,,,,,,,,,
AME-II TUT,426,0,,4,1,43,,,,,,,,,,,,,
AME-II TUT,428,0,,4,7,55,,,,,,,,,,,,,
AME-II TUT,429,0,,4,3,55,,,,,,,,,,,,,
AI,430,1,,7,3,109,,,,,,,,,,,,,
PBL-MP-A-TH,432,1,,7,3,79,,,,,,,,,,,,,
BLC,434,1,,7,1,113,,,,,,,,,,,,,
PBL,436,0,,7,1,127,,,,,,,,,,,,,
AME-I-TUT,437,0,,3,1,55,,,,,,,,,,,,,
EM I TUT,439,0,,1,6,24,,,,,,,,,,,,,
IoT & Cloud,440,1,,4,2,1,,,,,,,,,,,,,
IoT & C Lab,441,0,,4,2,70,,,,,,,,,,,,,
TCS,442,1,,4,1,1,,,,,,,,,,,,,
IE,443,1,,4,1,98,,,,,,,,,,,,,
IE Lab,444,0,,4,1,137,,,,,,,,,,,,,
OML,445,1,,8,1,128,,,,,,,,,,,,,
OML Lab,446,0,,8,1,128,,,,,,,,,,,,,
MMC-IOT &CC,447,1,,4,7,35,,,,,,,,,,,,,
MMC-IOT & CCL,448,0,,4,7,85,,,,,,,,,,,,,
IVT,449,1,,8,7,92,,,,,,,,,,,,,
RM,450,1,,8,7,92,,,,,,,,,,,,,
IS,451,1,,6,1,130,,,,,,,,,,,,,
RM,452,1,,8,3,60,,,,,,,,,,,,,
VLSI (MMC),454,1,,4,3,76,,,,,,,,,,,,,
IE (MMC),455,1,,4,3,76,,,,,,,,,,,,,
AI (MMC),457,1,,4,3,76,,,,,,,,,,,,,
VLSI Lab,458,0,,4,3,76,,,,,,,,,,,,,
IE Lab,459,0,,4,3,76,,,,,,,,,,,,,
AI Lab,460,0,,4,3,76,,,,,,,,,,,,,
MVLSI,461,1,,6,3,122,,,,,,,,,,,,,
MVLSI Lab,462,0,,6,3,122,,,,,,,,,,,,,
AM-II TUT,463,0,,4,2,55,,,,,,,,,,,,,
PBL-II (Mini) T,464,1,,4,3,109,,,,,,,,,,,,,
PBL-II T,465,0,,6,3,1,,,,,,,,,,,,,
MMC : AI,466,1,,5,3,99,,,,,,,,,,,,,
MMC : ICC,467,1,,5,3,99,,,,,,,,,,,,,
MMC : VLSI,468,1,,5,3,99,,,,,,,,,,,,,
MMC : IE,469,1,,5,3,99,,,,,,,,,,,,,
MMC : AIL,470,1,,5,3,99,,,,,,,,,,,,,
MMC : ICCL,471,1,,5,3,99,,,,,,,,,,,,,
MMC : VLSIL,472,1,,5,3,99,,,,,,,,,,,,,
ML,473,1,,5,1,126,,,,,,,,,,,,,
WS,474,1,,5,1,127,,,,,,,,,,,,,
WS Lab,475,0,,5,1,79,,,,,,,,,,,,,
IoT & Cloud,476,1,,5,1,127,,,,,,,,,,,,,
Industrial Enterpre,477,1,,5,1,127,,,,,,,,,,,,,
Minor IoT Lab,478,2,,5,1,127,,,,,,,,,,,,,
SP,479,1,,7,7,134,,,,,,,,,,,,,
SPL,481,0,,7,7,82,,,,,,,,,,,,,
BMDP,482,1,,5,7,134,,,,,,,,,,,,,
IoT & Cloud,483,1,,5,7,134,,,,,,,,,,,,,
IoT & Cloud L,484,0,,5,7,134,,,,,,,,,,,,,
BMDP,485,0,,5,7,134,,,,,,,,,,,,,
